N,Z,A,mass_xx_kev,mass_xx_uncert,bea_kev,A,atom_mass_muu,atom_mass_uncert
45,46,91,-46170#,420#,8183#,90,950440#,450#
59,33,92,-30380#,500#,8121#,91,967390#,540#
58,34,92,-46720#,400#,8290#,91,949840#,430#
57,35,92,-56233,7,8384.91,91,939632,7
56,36,92,-68769.3,2.7,8512.675,91,926173.1,2.9
55,37,92,-74772,6,8569.42,91,919728,7
54,38,92,-82867,3,8648.91,91,911038,4
53,39,92,-84816,9,8661.59,91,908946,10
52,40,92,-88459.02,0.09,8692.678,91,905035.34,0.10
51,41,92,-86453.3,1.8,8662.373,91,907188.6,1.9
50,42,92,-86808.59,0.16,8657.731,91,906807.15,0.17
49,43,92,-78926,3,8563.54,91,915270,3
48,44,92,-74301.2,2.7,8504.774,91,920234.4,2.9
47,45,92,-62999,4,8373.42,91,932368,5
46,46,92,-54780,350,8276,91,941190,370
45,47,92,-37530#,400#,8080#,91,959710#,430#
59,34,93,-40860#,400#,8225#,92,956140#,430#
58,35,93,-52890,430,8346,92,943220,460
57,36,93,-64136.0,2.5,8458.108,92,931147.2,2.7
56,37,93,-72620,8,8540.92,92,922039,8
55,38,93,-80086,8,8612.79,92,914024,8
54,39,93,-84227,10,8648.91,92,909578,11
53,40,93,-87122.0,0.5,8671.621,92,906470.7,0.5
52,41,93,-87212.8,1.5,8664.185,92,906373.2,1.6
51,42,93,-86807.08,0.18,8651.409,92,906808.77,0.19
50,43,93,-83606.1,1.0,8608.578,92,910245.1,1.1
49,44,93,-77216.7,2.1,8531.463,92,917104.4,2.2
48,45,93,-69011.8,2.6,8434.826,92,925912.8,2.8
47,46,93,-58980,370,8319,92,936680,400
46,47,93,-46400#,400#,8175#,92,950190#,430#
60,34,94,-36800#,500#,8180#,93,960490#,540#
59,35,94,-47650#,200#,8287#,93,948850#,220#
58,36,94,-61348,12,8424.33,93,934140,13
57,37,94,-68562.8,2.0,8492.764,93,926394.8,2.2
56,38,94,-78845.7,1.7,8593.834,93,915355.6,1.8
55,39,94,-82351,6,8622.81,93,911592,7
54,40,94,-87269.33,0.16,8666.802,93,906312.52,0.18
53,41,94,-86369.1,1.5,8648.901,93,907279.0,1.6
52,42,94,-88414.08,0.14,8662.334,93,905083.59,0.15
51,43,94,-84158,4,8608.74,93,909652,4
50,44,94,-82584,3,8583.66,93,911343,3
49,45,94,-72908,3,8472.40,93,921730,4
48,46,94,-66102,4,8391.68,93,929036,5
47,47,94,-52400#,400#,8238#,93,943740#,430#
46,48,94,-40440#,500#,8102#,93,956590#,540#
61,34,95,-30460#,500#,8112#,94,967300#,540#
60,35,95,-43850#,300#,8245#,94,952930#,320#
59,36,95,-56159,19,8366.00,94,939711,20
58,37,95,-65890,20,8460.20,94,929264,22
57,38,95,-75117,6,8549.09,94,919358,6
56,39,95,-81208,7,8604.96,94,912820,7
55,40,95,-85659.9,0.9,8643.592,94,908040.3,0.9
54,41,95,-86786.3,0.5,8647.213,94,906831.1,0.5
53,42,95,-87711.87,0.12,8648.721,94,905837.44,0.13
52,43,95,-86021,5,8622.69,94,907652,5
51,44,95,-83458,10,8587.47,94,910404,10
50,45,95,-78341,4,8525.37,94,915898,4
49,46,95,-69966,3,8428.98,94,924889,3
48,47,95,-59910#,400#,8315#,94,935690#,430#
47,48,95,-47060#,570#,8171#,94,949480#,610#
61,35,96,-38210#,300#,8184#,95,958980#,320#
60,36,96,-53082,19,8330.87,95,943014,21
59,37,96,-61354,3,8408.90,95,934133,4
58,38,96,-72918,8,8521.20,95,921719,9
57,39,96,-78330,6,8569.43,95,915909,7
56,40,96,-85438.86,0.11,8635.328,95,908277.62,0.12
55,41,96,-85602.83,0.15,8628.887,95,908101.59,0.16
54,42,96,-88794.89,0.12,8653.988,95,904674.77,0.13
53,43,96,-85822,5,8614.87,95,907867,6
52,44,96,-86080.39,0.17,8609.413,95,907588.91,0.18
51,45,96,-79688,10,8534.67,95,914452,11
50,46,96,-76183,4,8490.02,95,918214,5
49,47,96,-64510,90,8360.3,95,930740,100
48,48,96,-55570#,410#,8259#,95,940340#,440#
47,49,96,-38090#,500#,8069#,95,959110#,540#
62,35,97,-34000#,400#,8140#,96,963500#,430#
61,36,97,-47420,130,8269.9,96,949090,140
60,37,97,-58519.1,1.9,8376.187,96,937177.1,2.1
59,38,97,-68581,3,8471.85,96,926376,4
58,39,97,-76115,7,8541.46,96,918287,7
57,40,97,-82936.69,0.12,8603.718,96,910963.80,0.13
56,41,97,-85603,4,8623.14,96,908102,5
55,42,97,-87544.70,0.16,8635.093,96,906016.90,0.18
54,43,97,-87224,4,8623.73,96,906361,4
53,44,97,-86120.6,2.8,8604.280,96,907545.8,3.0
52,45,97,-82600,40,8559.9,96,911330,40
51,46,97,-77806,5,8502.43,96,916472,5
50,47,97,-70904,12,8423.21,96,923881,13
49,48,97,-60730,420,8310,96,934800,450
48,49,97,-47390#,400#,8165#,96,949130#,430#
63,35,98,-28050#,400#,8078#,97,969890#,430#
62,36,98,-44120#,300#,8234#,97,952640#,320#
61,37,98,-54369,16,8330.73,97,941632,17
60,38,98,-66422,3,8445.74,97,928693,3
59,39,98,-72289,8,8497.62,97,922395,9
58,40,98,-81282,8,8581.40,97,912740,9
57,41,98,-83525,5,8596.30,97,910333,5
56,42,98,-88115.98,0.17,8635.169,97,905403.61,0.19
55,43,98,-86432,3,8610.00,97,907211,4
54,44,98,-88225,6,8620.31,97,905287,7
53,45,98,-83175,12,8560.80,97,910708,13
52,46,98,-81321,5,8533.90,97,912698,5
51,47,98,-73070,30,8441.7,97,921560,40
50,48,98,-67640,50,8378.3,97,927390,60
49,49,98,-53910#,300#,8230#,97,942130#,330#
63,36,99,-38400#,400#,8175#,98,958780#,430#
62,37,99,-51121,4,8295.30,98,945119,4
61,38,99,-62519,5,8402.52,98,932884,5
60,39,99,-70644,7,8476.69,98,924161,7
59,40,99,-77617,10,8539.23,98,916675,11
58,41,99,-82335,12,8578.99,98,911609,13
57,42,99,-85970.11,0.23,8607.798,98,907707.30,0.25
56,43,99,-87327.9,0.9,8613.610,98,906249.7,1.0
55,44,99,-87625.4,0.3,8608.713,98,905930.3,0.4
54,45,99,-85585,19,8580.20,98,908121,21
53,46,99,-82183,5,8537.93,98,911773,5
52,47,99,-76712,6,8474.77,98,917646,7
51,48,99,-69931.1,1.6,8398.373,98,924925.8,1.7
50,49,99,-61380#,300#,8304#,98,934110#,320#
49,50,99,-47980#,580#,8161#,98,948500#,630#
64,36,100,-34470#,400#,8134#,99,963000#,430#
63,37,100,-46266,13,8244.51,99,950332,14
62,38,100,-59818,7,8372.20,99,935783,7
61,39,100,-67321,11,8439.42,99,927728,12
60,40,100,-76373,8,8522.11,99,918010,9
59,41,100,-79791,8,8548.47,99,914341,9
58,42,100,-86193.0,0.3,8604.663,99,907468.0,0.3
57,43,100,-86021.0,1.4,8595.118,99,907652.7,1.5
56,44,100,-89227.4,0.3,8619.359,99,904210.5,0.4
55,45,100,-85591,18,8575.17,99,908114,19
54,46,100,-85213,18,8563.57,99,908520,19
53,47,100,-78138,5,8484.99,99,916115,5
52,48,100,-74194.6,1.7,8437.737,99,920348.8,1.8
51,49,100,-64178.1,2.2,8329.749,99,931101.9,2.4
50,50,100,-57150,240,8251.6,99,938650,260
65,36,101,-28580#,500#,8075#,100,969320#,540#
64,37,101,-42567,20,8206.18,100,954302,22
63,38,101,-55325,8,8324.74,100,940606,9
62,39,101,-65055,7,8413.33,100,930161,8
61,40,101,-73161,8,8485.84,100,921458,9
60,41,101,-78891,4,8534.84,100,915307,4
59,42,101,-83520.0,0.3,8572.916,100,910337.6,0.3
58,43,101,-86345,24,8593.14,100,907305,26
57,44,101,-87958.1,0.4,8601.366,100,905573.1,0.4
56,45,101,-87412,6,8588.22,100,906159,6
55,46,101,-85432,5,8560.86,100,908285,5
54,47,101,-81334,5,8512.55,100,912684,5
53,48,101,-75836.5,1.5,8450.366,100,918586.2,1.6
52,49,101,-68545,12,8370.43,100,926414,13
51,50,101,-60310,300,8281.1,100,935260,320
65,37,102,-37250,80,8152.7,101,960010,90
64,38,102,-52160,70,8291.2,101,944000,70
63,39,102,-61173,4,8371.92,101,934328,4
62,40,102,-71581,9,8466.29,101,923154,9
61,41,102,-76298.3,2.5,8504.867,101,918090.4,2.7
60,42,102,-83561,8,8568.40,101,910294,9
59,43,102,-84573,9,8570.65,101,909207,10
58,44,102,-89106.4,0.4,8607.428,101,904340.3,0.4
57,45,102,-86783,6,8576.98,101,906834,7
56,46,102,-87903.0,0.4,8580.289,101,905632.3,0.4
55,47,102,-82247,8,8517.17,101,911705,9
54,48,102,-79659.7,1.7,8484.132,101,914481.8,1.8
53,49,102,-70695,5,8388.57,101,924106,5
52,50,102,-64930,100,8324.4,101,930290,110
51,51,102,-51100#,400#,8181#,101,945140#,430#
66,37,103,-33160#,400#,8112#,102,964400#,430#
65,38,103,-47280#,200#,8242#,102,949240#,220#
64,39,103,-58457,11,8342.63,102,937244,12
63,40,103,-67809,9,8425.83,102,927204,10
62,41,103,-75029,4,8488.33,102,919453,4
61,42,103,-80954,9,8538.27,102,913092,10
60,43,103,-84604,10,8566.10,102,909174,11
59,44,103,-87267.2,0.4,8584.366,102,906314.8,0.5
58,45,103,-88031.7,2.3,8584.193,102,905494.1,2.5
57,46,103,-87457.0,0.9,8571.017,102,906111.1,0.9
56,47,103,-84803,4,8537.65,102,908961,4
55,48,103,-80651.6,1.8,8489.755,102,913416.9,1.9
54,49,103,-74632,9,8423.72,102,919879,10
53,50,103,-67090#,100#,8343#,102,927970#,110#
52,51,103,-56670#,300#,8234#,102,939160#,320#
67,37,104,-27450#,500#,8057#,103,970530#,540#
66,38,104,-43760#,300#,8206#,103,953020#,320#
65,39,104,-54080#,200#,8298#,103,941940#,220#
64,40,104,-65718,9,8402.32,103,929449,10
63,41,104,-71811.0,1.8,8453.383,103,922907.7,1.9
62,42,104,-80344,9,8527.91,103,913747,10
61,43,104,-82499,25,8541.11,103,911434,27
60,44,104,-88095.8,2.5,8587.400,103,905425.3,2.7
59,45,104,-86959.3,2.3,8568.950,103,906645.3,2.5
58,46,104,-89395.1,1.3,8584.848,103,904030.4,1.4
57,47,104,-85116,4,8536.18,103,908624,5
56,48,104,-83968.4,1.7,8517.623,103,909856.2,1.8
55,49,104,-76183,6,8435.24,103,918215,6
54,50,104,-71627,6,8383.91,103,923105,6
53,51,104,-59300#,100#,8258#,103,936340#,110#
52,52,104,-49630,320,8157,103,946720,340
67,38,105,-38190#,500#,8152#,104,959000#,540#
66,39,105,-50570#,400#,8262#,104,945710#,430#
65,40,105,-61458,12,8358.60,104,934022,13
64,41,105,-69916,4,8431.69,104,924943,4
63,42,105,-77331,9,8494.86,104,916982,10
62,43,105,-82290,40,8534.6,104,911660,40
61,44,105,-85934.5,2.5,8561.902,104,907745.5,2.7
60,45,105,-87851.3,2.5,8572.705,104,905687.8,2.7
59,46,105,-88417.9,1.1,8570.651,104,905079.5,1.2
58,47,105,-87071,5,8550.37,104,906526,5
57,48,105,-84333.8,1.4,8516.853,104,909463.9,1.5
56,49,105,-79641,10,8464.70,104,914502,11
55,50,105,-73338,4,8397.23,104,921268,4
54,51,105,-64015,22,8300.99,104,931277,23
53,52,105,-52810,300,8186.8,104,943300,320
68,38,106,-34300#,600#,8114#,105,963180#,640#
67,39,106,-45790#,500#,8215#,105,950840#,540#
66,40,106,-58750#,200#,8330#,105,936930#,220#
65,41,106,-66202.7,1.4,8393.266,105,928928.5,1.5
64,42,106,-76128,9,8479.52,105,918273,10
63,43,106,-79776,12,8506.56,105,914357,13
62,44,106,-86323,5,8560.94,105,907328,6
61,45,106,-86363,5,8553.93,105,907286,6
60,46,106,-89907.5,1.1,8579.993,105,903480.3,1.2
59,47,106,-86942,3,8544.640,105,906663,3
58,48,106,-87132.2,1.1,8539.049,105,906459.8,1.2
57,49,106,-80608,12,8470.12,105,913464,13
56,50,106,-77354,5,8432.04,105,916957,5
55,51,106,-66473,7,8322.01,105,928638,8
54,52,106,-58220,100,8236.8,105,937500,110
53,53,106,-43300#,400#,8089#,105,953520#,430#
69,38,107,-28250#,700#,8057#,106,969670#,750#
68,39,107,-41970#,500#,8178#,106,954940#,540#
67,40,107,-54020#,300#,8284#,106,942010#,320#
66,41,107,-63724,8,8367.09,106,931590,9
65,42,107,-72545,9,8442.22,106,922120,10
64,43,107,-78750,9,8492.90,106,915458,9
63,44,107,-83863,9,8533.37,106,909970,9
62,45,107,-86864,12,8554.10,106,906748,13
61,46,107,-88372.7,1.2,8560.895,106,905128.1,1.3
60,47,107,-88406.7,2.4,8553.901,106,905091.5,2.6
59,48,107,-86990.3,1.7,8533.352,106,906612.0,1.8
58,49,107,-83567,10,8494.04,106,910287,10
57,50,107,-78512,5,8439.49,106,915714,6
56,51,107,-70653,4,8358.73,106,924151,4
55,52,107,-60660#,100#,8258#,106,934880#,110#
54,53,107,-49430#,300#,8146#,106,946940#,320#
69,39,108,-36780#,600#,8129#,107,960520#,640#
68,40,108,-50950#,400#,8253#,107,945300#,430#
67,41,108,-59545,8,8325.66,107,936076,9
66,42,108,-70749,9,8422.16,107,924048,10
65,43,108,-75923,9,8462.82,107,918493,9
64,44,108,-83661,9,8527.23,107,910186,9
63,45,108,-85031,14,8532.67,107,908715,15
62,46,108,-89524.2,1.1,8567.024,107,903891.8,1.2
61,47,108,-87606.8,2.4,8542.026,107,905950.2,2.6
60,48,108,-89252.4,1.1,8550.020,107,904183.6,1.2
59,49,108,-84120,9,8495.25,107,909694,9
58,50,108,-82070,5,8469.03,107,911894,6
57,51,108,-72445,5,8372.67,107,922227,6
56,52,108,-65782,5,8303.72,107,929380,6
55,53,108,-52770#,100#,8176#,107,943350#,110#
54,54,108,-42630,380,8075,107,954230,410
70,39,109,-32480#,700#,8089#,108,965130#,750#
69,40,109,-45730#,500#,8204#,108,950910#,540#
68,41,109,-56690,430,8297,108,939140,460
67,42,109,-66659,11,8381.42,108,928438,12
66,43,109,-74283,10,8444.18,108,920254,10
65,44,109,-80738,9,8496.23,108,913324,10
64,45,109,-84999,4,8528.14,108,908750,4
63,46,109,-87606.5,1.1,8544.882,108,905950.6,1.2
62,47,109,-88719.4,1.3,8547.916,108,904755.8,1.4
61,48,109,-88504.3,1.5,8538.765,108,904986.7,1.6
60,49,109,-86490,4,8513.10,108,907150,4
59,50,109,-82630,8,8470.52,108,911293,9
58,51,109,-76251,5,8404.82,108,918141,6
57,52,109,-67715,4,8319.33,108,927305,5
56,53,109,-57673,7,8220.02,108,938086,7
55,54,109,-46170,300,8107.3,108,950430,320
70,40,110,-42220#,500#,8171#,109,954680#,540#
69,41,110,-52310,840,8255,109,943840,900
68,42,110,-64536,24,8359.29,109,930718,26
67,43,110,-71035,9,8411.26,109,923741,10
66,44,110,-80073,9,8486.31,109,914039,10
65,45,110,-82829,18,8504.26,109,911080,19
64,46,110,-88330.9,0.6,8547.163,109,905172.9,0.7
63,47,110,-87457.3,1.3,8532.109,109,906110.7,1.4
62,48,110,-90348.0,0.4,8551.275,109,903007.5,0.4
61,49,110,-86470,12,8508.91,109,907171,12
60,50,110,-85842,14,8496.09,109,907845,15
59,51,110,-77450,6,8412.68,109,916854,6
58,52,110,-72230,7,8358.12,109,922458,7
57,53,110,-60470,60,8244.1,109,935090,70
56,54,110,-51920,100,8159.3,109,944260,110
71,40,111,-36480#,600#,8118#,110,960840#,640#
70,41,111,-48960#,300#,8223#,110,947440#,320#
69,42,111,-59940,13,8315.29,110,935652,14
68,43,111,-69025,11,8390.09,110,925899,11
67,44,111,-76785,10,8452.96,110,917568,10
66,45,111,-82304,7,8495.63,110,911643,7
65,46,111,-85985.9,0.7,8521.750,110,907690.4,0.8
64,47,111,-88215.4,1.5,8534.788,110,905296.8,1.6
63,48,111,-89252.2,0.4,8537.080,110,904183.8,0.4
62,49,111,-88392,3,8522.28,110,905107,4
61,50,111,-85939,5,8493.13,110,907741,6
60,51,111,-80837,9,8440.12,110,913218,10
59,52,111,-73587,6,8367.76,110,921001,7
58,53,111,-64954,5,8282.93,110,930269,5
57,54,111,-54520#,120#,8182#,110,941470#,120#
56,55,111,-42900#,200#,8070#,110,953950#,220#
72,40,112,-32420#,700#,8081#,111,965200#,750#
71,41,112,-44070#,300#,8178#,111,952690#,320#
70,42,112,-57480#,200#,8291#,111,938290#,220#
69,43,112,-65259,6,8353.62,111,929942,6
68,44,112,-75631,10,8439.24,111,918807,10
67,45,112,-79730,40,8468.9,111,914410,50
66,46,112,-86321,7,8520.72,111,907331,7
65,47,112,-86583.7,2.4,8516.081,111,907048.5,2.6
64,48,112,-90574.86,0.25,8544.731,111,902763.90,0.27
63,49,112,-87990,4,8514.67,111,905539,5
62,50,112,-88655.05,0.29,8513.619,111,904824.9,0.3
61,51,112,-81599,18,8443.63,111,912400,19
60,52,112,-77568,8,8400.65,111,916728,9
59,53,112,-67063,10,8299.88,111,928005,11
58,54,112,-60026,8,8230.06,111,935559,9
57,55,112,-46420#,120#,8102#,111,950170#,120#
73,40,113,-26340#,300#,8027#,112,971720#,320#
72,41,113,-40210#,400#,8143#,112,956830#,430#
71,42,113,-52650#,300#,8246#,112,943480#,320#
70,43,113,-62812,3,8329.465,112,932569,4
69,44,113,-71870,40,8402.7,112,922850,40
68,45,113,-78767,7,8456.82,112,915440,8
67,46,113,-83590,7,8492.58,112,910262,7
66,47,113,-87027,17,8516.07,112,906573,18
65,48,113,-89043.29,0.24,8526.987,112,904408.11,0.26
64,49,113,-89367.12,0.19,8522.930,112,904060.45,0.20
63,50,113,-88328.1,1.6,8506.812,112,905175.9,1.7
62,51,113,-84417,17,8465.28,112,909375,18
61,52,113,-78347,28,8404.64,112,915890,30
60,53,113,-71120,8,8333.75,112,923650,9
59,54,113,-62204,7,8247.93,112,933222,7
58,55,113,-51765,9,8148.62,112,944428,9
57,56,113,-39710#,300#,8035#,112,957370#,320#
73,41,114,-34960#,500#,8097#,113,962470#,540#
72,42,114,-49680#,300#,8219#,113,946670#,320#
71,43,114,-58600,430,8290,113,937090,470
70,44,114,-70221,4,8385.34,113,924614,4
69,45,114,-75710,70,8426.6,113,918720,80
68,46,114,-83490,7,8488.01,113,910369,7
67,47,114,-84931,5,8493.78,113,908823,5
66,48,114,-90014.93,0.28,8531.513,113,903365.00,0.30
65,49,114,-88569.8,0.3,8511.974,113,904916.4,0.3
64,50,114,-90559.735,0.029,8522.567,113,902780.13,0.03
63,51,114,-84497,20,8462.52,113,909289,21
62,52,114,-81890,24,8432.79,113,912088,26
61,53,114,-72639,20,8344.78,113,922019,22
60,54,114,-67086,11,8289.21,113,927980,12
59,55,114,-54690,90,8173.6,113,941290,90
58,56,114,-45910,100,8089.7,113,950720,110
74,41,115,-30880#,500#,8061#,114,966850#,540#
73,42,115,-44550#,400#,8173#,114,952170#,430#
72,43,115,-55800#,200#,8264#,114,940100#,210#
71,44,115,-66105,25,8346.81,114,929033,27
70,45,115,-74229,7,8410.65,114,920312,8
69,46,115,-80426,14,8457.73,114,913659,15
68,47,115,-84983,18,8490.56,114,908767,20
67,48,115,-88084.5,0.7,8510.725,114,905437.4,0.7
66,49,115,-89536.357,0.012,8516.547,114,903878.773,0.012
65,50,115,-90033.846,0.015,8514.070,114,903344.696,0.016
64,51,115,-87003,16,8480.92,114,906598,17
63,52,115,-82063,28,8431.15,114,911900,30
62,53,115,-76338,29,8374.57,114,918050,30
61,54,115,-68657,12,8300.97,114,926294,13
60,55,115,-59700#,100#,8216#,114,935910#,110#
59,56,115,-48920#,200#,8116#,114,947480#,220#
75,41,116,-25230#,300#,8012#,115,972910#,320#
74,42,116,-41210#,500#,8143#,115,955760#,540#
73,43,116,-51210#,300#,8223#,115,945020#,320#
72,44,116,-64069,4,8326.88,115,931219,4
71,45,116,-70740,70,8377.6,115,924060,80
70,46,116,-79831,7,8449.28,115,914298,8
69,47,116,-82543,3,8465.907,115,911387,4
68,48,116,-88712.49,0.16,8512.351,115,904763.23,0.17
67,49,116,-88249.76,0.22,8501.618,115,905259.99,0.24
66,50,116,-91525.98,0.10,8523.117,115,901742.83,0.10
65,51,116,-86822,5,8475.82,115,906793,6
64,52,116,-85264,24,8455.64,115,908466,26
63,53,116,-77420,80,8381.3,115,916890,80
62,54,116,-73047,13,8336.84,115,921581,14
61,55,116,-62040#,100#,8235#,115,933400#,110#
60,56,116,-54380#,200#,8162#,115,941620#,220#
59,57,116,-40050#,320#,8032#,115,957010#,350#
75,42,117,-35690#,500#,8096#,116,961690#,540#
74,43,117,-48140#,400#,8195#,116,948320#,430#
73,44,117,-59490,430,8286,116,936140,470
72,45,117,-68897,9,8359.28,116,926036,10
71,46,117,-76424,7,8416.92,116,917956,8
70,47,117,-82182,14,8459.45,116,911774,15
69,48,117,-86418.4,1.0,8488.974,116,907226.0,1.1
68,49,117,-88943,5,8503.87,116,904516,5
67,50,117,-90397.7,0.5,8509.612,116,902954.0,0.5
66,51,117,-88640,8,8487.90,116,904842,9
65,52,117,-85096,13,8450.92,116,908646,14
64,53,117,-80439,26,8404.43,116,913646,27
63,54,117,-74185,10,8344.30,116,920359,11
62,55,117,-66490,60,8271.9,116,928620,70
61,56,117,-57460,250,8188.0,116,938320,270
60,57,117,-46270#,200#,8086#,116,950330#,220#
76,42,118,-32370#,500#,8067#,117,965250#,540#
75,43,118,-43290#,400#,8153#,117,953530#,430#
74,44,118,-57000#,200#,8263#,117,938810#,220#
73,45,118,-64887,24,8322.85,117,930341,26
72,46,118,-75388.4,2.5,8405.220,117,919067.3,2.7
71,47,118,-79553.8,2.5,8433.890,117,914595.5,2.7
70,48,118,-86702,20,8487.83,117,906922,21
69,49,118,-87228,8,8485.67,117,906357,8
68,50,118,-91652.8,0.5,8516.534,117,901606.6,0.5
67,51,118,-87996,3,8478.916,117,905532,3
66,52,118,-87691,18,8469.70,117,905860,20
65,53,118,-80971,20,8406.12,117,913074,21
64,54,118,-78079,10,8374.98,117,916179,11
63,55,118,-68409,13,8286.41,117,926560,14
62,56,118,-62200#,200#,8227#,117,933230#,220#
61,57,118,-49620#,300#,8114#,117,946730#,320#
77,42,119,-26580#,300#,8019#,118,971470#,320#
76,43,119,-40170#,500#,8126#,118,956880#,540#
75,44,119,-52080#,300#,8220#,118,944090#,320#
74,45,119,-62823,9,8303.40,118,932557,10
73,46,119,-71407,8,8368.96,118,923341,9
72,47,119,-78646,15,8423.21,118,915570,16
71,48,119,-83980,40,8461.4,118,909850,40
70,49,119,-87699,7,8486.14,118,905852,8
69,50,119,-90065.0,0.7,8499.449,118,903311.3,0.8
68,51,119,-89476,7,8487.92,118,903944,8
67,52,119,-87183,7,8462.08,118,906406,8
66,53,119,-83778,22,8426.89,118,910061,23
65,54,119,-78794,10,8378.44,118,915411,11
64,55,119,-72305,14,8317.33,118,922377,15
63,56,119,-64590,200,8245.9,118,930660,210
62,57,119,-55020#,300#,8159#,118,940930#,320#
61,58,119,-43820#,500#,8058#,118,952960#,540#
77,43,120,-35000#,500#,8083#,119,962430#,540#
76,44,120,-49720#,400#,8199#,119,946620#,430#
75,45,120,-58620#,200#,8266#,119,937070#,220#
74,46,120,-70279.6,2.3,8357.082,119,924551.7,2.5
73,47,120,-75652,4,8395.33,119,918785,5
72,48,120,-83957,4,8458.02,119,909868,4
71,49,120,-85730,40,8466.3,119,907970,40
70,50,120,-91097.7,0.9,8504.488,119,902202.6,1.0
69,51,120,-88417,7,8475.63,119,905080,8
68,52,120,-89362.2,1.8,8476.986,119,904065.8,1.9
67,53,120,-83747,15,8423.67,119,910094,16
66,54,120,-82172,12,8404.03,119,911784,13
65,55,120,-73889,10,8328.48,119,920677,11
64,56,120,-68890,300,8280.3,119,926040,320
63,57,120,-57570#,300#,8179#,119,938200#,320#
62,58,120,-49730#,500#,8108#,119,946610#,540#
78,43,121,-31540#,500#,8054#,120,966140#,540#
77,44,121,-44620#,400#,8156#,120,952100#,430#
76,45,121,-56250,620,8245,120,939610,670
75,46,121,-66182,3,8320.858,120,928950,4
74,47,121,-74403,12,8382.33,120,920125,13
73,48,121,-81073.8,1.9,8430.997,120,912963.7,2.1
72,49,121,-85835,27,8463.88,120,907853,29
71,50,121,-89196.6,1.0,8485.196,120,904243.5,1.1
70,51,121,-89599.2,2.5,8482.057,120,903811.4,2.7
69,52,121,-88543,26,8466.86,120,904945,28
68,53,121,-86246,5,8441.41,120,907411,5
67,54,121,-82481,10,8403.83,120,911453,11
66,55,121,-77102,14,8352.92,120,917227,15
65,56,121,-70740,140,8293.9,120,924050,150
64,57,121,-62190#,300#,8217#,120,933240#,320#
63,58,121,-52690#,400#,8132#,120,943440#,430#
62,59,121,-41550#,500#,8033#,120,955390#,540#
79,43,122,-26310#,300#,8011#,121,971760#,320#
78,44,122,-41780#,500#,8132#,121,955150#,540#
77,45,122,-51880#,300#,8208#,121,944310#,320#
76,46,122,-64616,20,8305.98,121,930632,21
75,47,122,-71110,40,8352.8,121,923660,40
74,48,122,-80612.4,2.3,8424.267,121,913459.1,2.5
73,49,122,-83570,50,8442.1,121,910280,50
72,50,122,-89940.0,2.4,8487.897,121,903445.5,2.6
71,51,122,-88334.2,2.5,8468.322,121,905169.3,2.7
70,52,122,-90313.3,1.4,8478.131,121,903044.7,1.5
69,53,122,-86079,5,8437.01,121,907590,6
68,54,122,-85355,11,8424.66,121,908368,12
67,55,122,-78140,30,8359.15,121,916110,40
66,56,122,-74609,28,8323.76,121,919900,30
65,57,122,-64540#,300#,8235#,121,930710#,320#
64,58,122,-57870#,400#,8174#,121,937870#,430#
63,59,122,-44780#,500#,8060#,121,951930#,540#
79,44,123,-36550#,500#,8089#,122,960760#,540#
78,45,123,-49190#,400#,8185#,122,947190#,430#
77,46,123,-60430,790,8270,122,935130,850
76,47,123,-69570,30,8337.97,122,925320,40
75,48,123,-77414.2,2.7,8395.396,122,916892.5,2.9
74,49,123,-83429,20,8437.94,122,910435,21
73,50,123,-87814.7,2.5,8467.231,122,905727.1,2.7
72,51,123,-89222.9,1.4,8472.320,122,904215.3,1.5
71,52,123,-89171.0,1.4,8465.537,122,904271.0,1.5
70,53,123,-87943,4,8449.190,122,905590,4
69,54,123,-85248,10,8420.92,122,908482,10
68,55,123,-81044,12,8380.38,122,912996,13
67,56,123,-75655,12,8330.21,122,918781,13
66,57,123,-68650#,200#,8267#,122,926300#,210#
65,58,123,-60290#,300#,8193#,122,935280#,320#
64,59,123,-50230#,400#,8104#,122,946080#,430#
80,44,124,-33590#,600#,8065#,123,963940#,640#
79,45,124,-44710#,400#,8148#,123,952000#,430#
78,46,124,-58400#,300#,8252#,123,937310#,320#
77,47,124,-66230,250,8308.9,123,928900,270
76,48,124,-76699.4,2.6,8387.018,123,917659.8,2.8
75,49,124,-80870,30,8414.32,123,913180,30
74,50,124,-88231.5,1.3,8467.400,123,905279.6,1.4
73,51,124,-87619.1,1.4,8456.152,123,905937.1,1.5
72,52,124,-90524.1,1.4,8473.270,123,902818.3,1.5
71,53,124,-87364.6,2.3,8441.481,123,906210.3,2.5
70,54,124,-87667.4,1.4,8437.614,123,905885.2,1.5
69,55,124,-81741,9,8383.51,123,912247,10
68,56,124,-79090,12,8355.82,123,915094,13
67,57,124,-70260,60,8278.3,123,924570,60
66,58,124,-64920#,300#,8229#,123,930310#,320#
65,59,124,-53150#,400#,8128#,123,942940#,430#
64,60,124,-44830#,500#,8054#,123,951870#,540#
81,44,125,-28370#,300#,8023#,124,969540#,320#
80,45,125,-41830#,500#,8124#,124,955090#,540#
79,46,125,-53960#,400#,8215#,124,942070#,430#
78,47,125,-64520,430,8293,124,930740,470
77,48,125,-73348.1,2.9,8357.682,124,921258,3
76,49,125,-80412.3,1.8,8407.937,124,913673.8,1.9
75,50,125,-85893.7,1.3,8445.529,124,907789.4,1.4
